,0
0,318
1,405
2,525
3,625
4,309
5,405
6,534
7,634
8,634
9,314
10,405
11,530
12,630
13,195
14,205
15,395
16,195
17,205
18,395
19,495
20,251
21,349
22,479
23,579
24,253
25,413
26,262
27,442
28,288
29,438
30,320
31,485
32,300
33,450
34,275
35,365
36,505
37,273
38,365
39,505
40,323
41,483
42,299
43,505
44,270
45,435
46,245
47,455
48,320
49,395
50,490
51,285
52,405
53,305
54,450
55,265
56,405
57,290
58,440
59,320
60,500
61,305
62,455
63,350
64,555
65,300
66,385
67,510
68,310
69,400
70,500
71,590
72,305
73,405
74,505
75,300
76,390
77,490
78,335
79,515
80,300
81,390
82,495
83,410
84,500
85,315
86,490
87,590
88,325
89,465
90,352
91,310
92,460
93,325
94,475
95,325
96,500
97,305
98,525
99,310
100,405
101,500
102,600
103,385
104,328
105,483
106,325
107,475
108,330
109,480
110,325
111,520
112,320
113,425
114,455
115,455
116,385
117,340
118,490
119,345
120,485
121,450
122,435
123,490
124,590
125,295
126,440
127,320
128,450
129,340
130,520
131,460
132,500
133,455
134,490
135,495
136,500
137,600
138,490
139,200
140,540
141,640
142,535
143,288
144,325
145,525
146,525
147,525
148,395
149,355
150,495
151,355
152,495
153,515
154,615
155,540
156,580
157,580
158,580
159,300
160,420
161,600
162,680
163,780
164,780
165,600
166,318
167,405
168,525
169,309
170,405
171,534
172,314
173,405
174,530
175,215
176,415
177,262
178,442
179,265
180,390
181,250
182,390
183,535
184,330
185,460
186,205
187,218
188,210
189,245
190,405
191,320
192,470
193,280
194,365
195,510
196,610
197,490
198,250
199,420
200,410
201,500
202,250
203,340
204,460
205,360
206,180
207,425
208,390
209,210
210,430
211,525
212,525
213,405
214,490
215,435
216,336
217,405
218,455
219,290
220,465
221,415
222,430
223,510
224,610
225,300
226,450
227,430
228,500
229,600
230,505
231,500
232,600
233,430
234,330
235,500
236,250
237,410
238,250
239,450
240,380
241,300
242,480
243,330
244,465
245,465
246,330
247,500
248,600
249,540
250,330
251,500
252,515
253,465
254,250
255,210
256,455
257,305
258,360
259,365
260,490
261,540
262,580
263,580
264,580
265,300
266,410
267,600
268,700
269,680
270,680
271,600
272,310
273,405
274,530
275,630
276,310
277,405
278,530
279,630
280,310
281,405
282,535
283,635
284,220
285,420
286,240
287,420
288,195
289,205
290,395
291,205
292,385
293,220
294,340
295,480
296,220
297,340
298,480
299,270
300,430
301,270
302,430
303,198
304,278
305,518
306,618
307,269
308,414
309,295
310,460
311,280
312,440
313,670
314,266
315,456
316,236
317,240
318,360
319,490
320,237
321,474
322,190
323,375
324,260
325,380
326,380
327,480
328,380
329,480
330,330
