Menu Item,Service,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023
Nachos,Lunch,23,33,7,21,40,8,41,30,13,9,29,14,50,22,36,17,4,6,41,48,22,30,27,36,43,48,33,46,27,29,18,44,34,7,9,37,22,9,28,9,3,11,5,24,43,12,28,13,29,29,9,14,31,9,3,45,27,18,38,14,25,22,6,38,7,27,3,4,18,32,19,50,24,47,38,20,29,37,16,8,18,35,19,23,9,16,45,29,49,31
Soup,Lunch,40,14,37,41,30,17,48,49,37,46,36,9,5,25,3,34,44,20,7,37,37,31,18,15,49,6,13,47,40,13,43,47,44,6,13,14,8,5,48,23,33,45,6,37,45,35,9,30,39,30,29,11,46,50,30,32,38,27,21,28,24,44,11,29,7,3,42,46,13,26,31,22,15,15,38,9,33,42,9,47,43,32,5,50,5,32,38,14,27,7
Burger,Lunch,25,35,42,39,25,10,39,8,31,46,8,12,21,23,27,25,43,49,3,4,46,49,37,8,19,6,24,10,36,19,45,8,29,6,14,17,4,6,11,23,31,31,3,27,20,28,48,14,4,33,25,21,14,4,3,48,26,21,12,7,39,40,19,34,48,15,7,13,19,10,24,21,40,32,43,5,22,36,15,5,48,24,32,30,11,48,12,43,7,26
Brisket,Lunch,25,3,35,24,9,8,24,24,30,20,21,30,8,13,18,27,14,50,45,24,35,12,37,40,44,22,47,36,44,6,36,30,12,49,13,20,12,40,32,23,20,26,47,43,40,38,43,18,11,6,33,26,42,32,11,42,4,40,33,7,30,5,41,8,29,38,15,47,13,20,34,37,33,33,35,46,13,40,26,14,22,12,26,34,12,8,35,11,44,12
Ribs,Lunch,41,9,23,18,13,40,32,36,17,45,48,34,9,27,23,15,44,49,22,45,49,17,26,43,16,29,29,45,32,31,30,18,41,39,45,11,8,37,14,22,9,46,24,14,4,4,17,16,37,17,14,30,37,16,10,44,10,49,48,37,13,7,26,4,46,16,39,18,26,3,23,37,35,3,4,20,32,33,38,34,28,6,13,43,24,43,41,16,32,17
Corn,Lunch,14,14,31,45,38,24,45,37,27,44,40,48,31,43,29,22,11,9,3,46,49,18,28,28,49,26,24,18,39,48,9,46,47,27,12,46,40,42,14,6,15,26,29,10,14,6,35,20,21,18,14,16,7,6,12,35,37,36,45,35,14,41,50,3,44,6,14,23,14,49,40,34,4,40,6,34,7,14,49,26,6,38,31,27,27,9,45,44,39,24
Fries,Lunch,5,35,18,37,8,33,7,45,49,14,20,50,22,29,24,5,28,22,27,28,19,44,28,32,40,5,5,14,46,49,3,22,38,18,14,24,15,25,43,39,5,13,7,9,14,48,37,38,37,9,28,25,6,43,40,18,48,50,45,44,45,38,26,23,37,23,5,48,20,10,27,23,41,19,48,8,23,12,44,9,35,18,20,29,6,16,6,4,20,30
Salad,Lunch,33,6,41,30,4,28,48,32,40,27,36,48,5,45,38,13,24,48,9,25,49,13,30,7,13,4,21,18,36,11,5,18,35,10,28,14,31,4,35,31,27,28,41,10,44,30,14,8,5,39,16,16,17,38,5,31,25,17,25,12,22,28,4,27,47,38,9,11,42,19,29,10,33,49,11,6,32,43,29,14,31,49,14,24,33,26,48,38,50,30
Nachos,Dinner,59,11,55,24,24,23,27,16,6,16,51,14,17,7,46,26,16,16,22,48,24,9,21,26,28,26,32,18,55,52,7,56,26,58,27,45,49,47,52,32,22,51,55,7,41,31,32,17,11,43,60,37,41,16,39,27,12,11,42,47,41,42,29,14,56,38,27,19,55,30,23,45,17,15,58,49,48,24,32,46,20,11,28,56,39,17,47,24,54,39
Soup,Dinner,8,18,35,40,23,27,31,34,6,19,7,52,8,32,29,46,17,15,32,20,57,31,31,7,39,15,20,15,22,49,34,46,31,41,39,46,57,9,44,10,31,10,40,22,17,37,29,39,10,34,24,31,51,58,25,9,43,8,24,52,31,14,36,24,22,49,7,53,18,26,51,57,60,47,29,46,24,27,52,8,57,43,43,36,18,35,42,60,18,20
