,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
508,458,Mantyke,Water,Flying,45,20,50,60,120,50,4,False
198,183,Marill,Water,Fairy,70,20,50,20,50,40,2,False
179,165,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False
68,63,Abra,Psychic,,25,20,15,105,55,90,1,False
381,349,Feebas,Water,,20,15,20,10,55,80,3,False
139,129,Magikarp,Water,,20,10,55,15,20,80,1,False
261,242,Blissey,Normal,,255,10,10,75,135,55,2,False
230,213,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False
121,113,Chansey,Normal,,250,5,5,35,105,50,1,False
488,440,Happiny,Normal,,100,5,5,15,65,30,4,False
