,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
163,150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True
232,214,HeracrossMega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False
426,384,RayquazaMega Rayquaza,Dragon,Flying,105,180,100,180,100,115,3,True
424,383,GroudonPrimal Groudon,Ground,Fire,100,180,160,150,90,90,3,True
429,386,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,3,True
711,646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,5,True
494,445,GarchompMega Garchomp,Dragon,Ground,108,170,115,120,95,92,4,False
454,409,Rampardos,Rock,,97,165,60,65,50,58,4,False
527,475,GalladeMega Gallade,Psychic,Fighting,68,165,95,65,115,110,4,False
387,354,BanetteMega Banette,Ghost,,64,165,75,93,83,75,3,False
268,248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False
313,289,Slaking,Normal,,150,160,100,95,65,100,3,False
543,486,Regigigas,Normal,,110,160,110,80,110,100,4,True
279,257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False
798,720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,True
796,719,DiancieMega Diancie,Rock,Fairy,50,160,110,160,110,110,6,True
141,130,GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,1,False
137,127,PinsirMega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False
164,150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True
425,384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True
